"===================================================================================================="
"20/08/2020 05:54:24"
"python calibrate_SF.py --country US --area SF --mob lib/mobility/San_Francisco_settings_20.pk --start 2020-03-04 --end 2020-04-24 --measures_optimized --measures_close education social office --filename calibartion_betas_phome"
"===================================================================================================="
"Downsampling : 20"
"Town population: 42513"
"Town population (unscaled): 850282"
"Region population : 850282"
"Initial seed counts : {'expo': 4, 'isym_posi': 1, 'iasy': 1}"
"Daily test capacity in sim.: 4"
"Max time T (days): 52"
"Target cases per age group at t=0:   [0, 0, 0, 0, 0, 1, 0, 0]"
"Target cases per age group at t=T:   [1, 1, 3, 5, 28, 19, 15, 5]"
"Parameters : 6"
"Parameter bounds: {'p_stay_home': [0.0, 1.0], 'betas': {'education': [0.0, 0.20000000298023224], 'social': [0.0, 0.20000000298023224], 'office': [0.0, 0.20000000298023224], 'supermarket': [0.0, 0.20000000298023224]}, 'beta_household': [0.0, 0.20000000298023224]}"
"Simulation starts at : 2020-03-04 00:00:00"
"             ends at : 2020-04-27 00:00:00"
"Lockdown   starts at : 2020-03-17 00:00:00"
"             ends at : 2020-08-01 00:00:00"
""
"iter","    best obj"," current obj"," diff","  p_home","b/educat","b/social","b/office","b/superm","b/househ","walltime"
"  80","  -5098.7257"," -24160.5032","  -22","  0.6467","  0.1478","  0.1039","  0.0306","  0.1266","  0.0885"," 59.9030"
"  81","  -5098.7257"," -12464.4425","  -64","  0.3060","  0.0132","  0.0858","  0.1108","  0.0265","  0.0379"," 11.7273"
"  82","  -5098.7257"," -29235.5012","   -9","  0.3929","  0.1859","  0.0877","  0.0840","  0.0637","  0.1478","121.3105"
"  83","  -5098.7257"," -22622.1274","   -9","  0.5850","  0.1229","  0.0857","  0.1171","  0.0637","  0.0955"," 58.9995"
"  84","  -5098.7257"," -24991.3036","  -12","  0.2712","  0.1723","  0.0537","  0.0687","  0.0641","  0.1824","113.8576"
"  85","  -5098.7257"," -25183.0737","  -21","  0.5447","  0.1555","  0.1904","  0.0625","  0.0575","  0.0991"," 78.1696"
"  86","  -5098.7257"," -23259.7024","  -23","  0.1759","  0.1987","  0.0446","  0.1006","  0.1584","  0.0583"," 65.5534"
"  87","  -5098.7257"," -18870.9043","   -5","  0.6160","  0.1885","  0.0367","  0.1656","  0.1989","  0.1702","124.8870"
"  88","  -5098.7257"," -12598.0324","  -19","  0.8705","  0.1160","  0.1755","  0.1212","  0.0261","  0.1922"," 44.0953"
"  89","  -5098.7257"," -22114.2519","  -19","  0.8416","  0.1374","  0.1928","  0.0752","  0.1062","  0.0722"," 47.7697"
"  90","  -5098.7257"," -13331.4381","  -42","  0.7051","  0.0758","  0.0143","  0.1196","  0.1742","  0.0243"," 19.1095"
"  91","  -5098.7257","  -7618.7819","  -41","  0.5660","  0.0250","  0.0724","  0.1258","  0.2000","  0.1175"," 14.6399"
"  92","  -5098.7257"," -13783.2305","    1","  0.8753","  0.0858","  0.0203","  0.1957","  0.1174","  0.1976"," 65.0639"
"  93","  -5098.7257"," -19582.8487","  -34","  0.3155","  0.1404","  0.0841","  0.0412","  0.0581","  0.0572"," 35.4396"
"  94","  -5098.7257"," -11528.7539","  -23","  0.7670","  0.1497","  0.1502","  0.1637","  0.1256","  0.0841"," 61.3779"
"  95","  -5098.7257"," -16957.7788","  -13","  0.2832","  0.1409","  0.0612","  0.1348","  0.0841","  0.1015"," 64.0735"
"  96","  -5098.7257"," -17912.0263","  -72","  0.4343","  0.0085","  0.1488","  0.0325","  0.1839","  0.0065"," 12.4703"
"  97","  -5098.7257"," -20855.8455","  -10","  0.2586","  0.1616","  0.1104","  0.1611","  0.1196","  0.1016"," 75.6797"
"  98","  -5098.7257"," -12048.9094","   -4","  0.9862","  0.0957","  0.0806","  0.1823","  0.1369","  0.1590"," 50.6032"
"  99","  -5098.7257"," -11570.3450","  -54","  0.4385","  0.0331","  0.1453","  0.0890","  0.1318","  0.0969"," 14.7480"
