,date_x,week_date,model_category,weekday_visits,date_y,weekend_visits,total_visits,base_rate,multiplier
55,2020-03-18,2020-03-16,education,2384,2020-03-22,1620,7580.0,75050.5,0.10099866090165954
56,2020-03-18,2020-03-16,office,864,2020-03-22,504,2664.0,7583.0,0.35131214558881707
57,2020-03-18,2020-03-16,retail,11115,2020-03-22,7109,34896.5,104534.0,0.3338291847628523
58,2020-03-18,2020-03-16,social,8583,2020-03-22,6437,27894.5,111885.5,0.24931291364832797
59,2020-03-18,2020-03-16,supermarket,2841,2020-03-22,2293,9395.5,17606.0,0.5336533000113598
60,2020-03-25,2020-03-23,education,2356,2020-03-29,1455,7345.0,75050.5,0.09786743592647618
61,2020-03-25,2020-03-23,office,905,2020-03-29,467,2729.5,7583.0,0.35994988790716076
62,2020-03-25,2020-03-23,retail,11650,2020-03-29,6559,35684.0,104534.0,0.3413626188608491
63,2020-03-25,2020-03-23,social,9041,2020-03-29,6133,28735.5,111885.5,0.2568295266142619
64,2020-03-25,2020-03-23,supermarket,2855,2020-03-29,2225,9362.5,17606.0,0.5317789389980688
65,2020-04-01,2020-03-30,education,1918,2020-04-05,1047,5842.0,75050.5,0.07784092044689908
66,2020-04-01,2020-03-30,office,694,2020-04-05,329,2064.0,7583.0,0.27218778847421865
67,2020-04-01,2020-03-30,retail,9610,2020-04-05,5415,29440.0,104534.0,0.2816308569460654
68,2020-04-01,2020-03-30,social,7330,2020-04-05,5054,23379.0,111885.5,0.20895469028605138
69,2020-04-01,2020-03-30,supermarket,2285,2020-04-05,1993,7705.5,17606.0,0.4376632966034307
70,2020-04-08,2020-04-06,education,1722,2020-04-12,1103,5408.0,75050.5,0.07205814751400723
71,2020-04-08,2020-04-06,office,640,2020-04-12,337,1937.0,7583.0,0.25543979955162865
72,2020-04-08,2020-04-06,retail,9148,2020-04-12,5063,27933.0,104534.0,0.26721449480551784
73,2020-04-08,2020-04-06,social,7183,2020-04-12,4901,22858.5,111885.5,0.2043026129391208
74,2020-04-08,2020-04-06,supermarket,2336,2020-04-12,1838,7678.0,17606.0,0.4361013290923549
75,2020-04-15,2020-04-13,education,1771,2020-04-19,1137,5564.5,75050.5,0.0741434101038634
76,2020-04-15,2020-04-13,office,693,2020-04-19,372,2104.5,7583.0,0.27752868257945407
77,2020-04-15,2020-04-13,retail,9614,2020-04-19,6982,31017.0,104534.0,0.2967168576731016
78,2020-04-15,2020-04-13,social,7590,2020-04-19,6334,25309.0,111885.5,0.22620446796054897
79,2020-04-15,2020-04-13,supermarket,2290,2020-04-19,2159,7884.0,17606.0,0.447801885720777
80,2020-04-22,2020-04-20,education,1915,2020-04-26,1368,6155.5,75050.5,0.08201810780740967
81,2020-04-22,2020-04-20,office,745,2020-04-26,422,2284.5,7583.0,0.30126598971383356
82,2020-04-22,2020-04-20,retail,10215,2020-04-26,7798,33335.5,104534.0,0.31889624428415636
83,2020-04-22,2020-04-20,social,8027,2020-04-26,7275,27342.5,111885.5,0.24437929847924889
84,2020-04-22,2020-04-20,supermarket,2392,2020-04-26,2345,8325.0,17606.0,0.4728501647165739
85,2020-04-29,2020-04-27,education,2029,2020-05-03,1206,6278.5,75050.5,0.08365700428378225
86,2020-04-29,2020-04-27,office,710,2020-05-03,375,2150.0,7583.0,0.28352894632731107
87,2020-04-29,2020-04-27,retail,10727,2020-05-03,7476,34293.5,104534.0,0.328060726653529
88,2020-04-29,2020-04-27,social,8228,2020-05-03,7157,27727.0,111885.5,0.24781584745118893
89,2020-04-29,2020-04-27,supermarket,2410,2020-05-03,2280,8305.0,17606.0,0.47171418834488243
90,2020-05-06,2020-05-04,education,2041,2020-05-10,1384,6486.5,75050.5,0.08642847149585946
91,2020-05-06,2020-05-04,office,771,2020-05-10,476,2403.5,7583.0,0.31695898720822896
92,2020-05-06,2020-05-04,retail,11200,2020-05-10,8695,36695.0,104534.0,0.35103411330284884
93,2020-05-06,2020-05-04,social,8497,2020-05-10,8521,29763.5,111885.5,0.26601749109580775
94,2020-05-06,2020-05-04,supermarket,2388,2020-05-10,2646,8616.0,17606.0,0.48937862092468476
95,2020-05-13,2020-05-11,education,2181,2020-05-17,1343,6795.5,75050.5,0.09054569922918568
96,2020-05-13,2020-05-11,office,784,2020-05-17,410,2370.0,7583.0,0.3125412106026639
97,2020-05-13,2020-05-11,retail,11279,2020-05-17,8304,36501.5,104534.0,0.3491830409244839
98,2020-05-13,2020-05-11,social,8789,2020-05-17,7517,29489.5,111885.5,0.26356855892854747
99,2020-05-13,2020-05-11,supermarket,2236,2020-05-17,2346,7936.0,17606.0,0.4507554242871748
100,2020-05-20,2020-05-18,education,2349,2020-05-24,1635,7507.5,75050.5,0.10003264468591148
101,2020-05-20,2020-05-18,office,859,2020-05-24,436,2583.5,7583.0,0.34069629434260845
102,2020-05-20,2020-05-18,retail,12289,2020-05-24,9737,40459.5,104534.0,0.387046319857654
103,2020-05-20,2020-05-18,social,9600,2020-05-24,8726,32726.0,111885.5,0.2924954529407296
104,2020-05-20,2020-05-18,supermarket,2424,2020-05-24,2677,8737.0,17606.0,0.49625127797341817
105,2020-05-27,2020-05-25,education,2619,2020-05-31,1657,8204.5,75050.5,0.10931972471868942
106,2020-05-27,2020-05-25,office,863,2020-05-31,443,2600.5,7583.0,0.3429381511275221
107,2020-05-27,2020-05-25,retail,12550,2020-05-31,9326,40701.0,104534.0,0.38935657298103965
108,2020-05-27,2020-05-25,social,9878,2020-05-31,8516,33211.0,111885.5,0.29683024163095306
109,2020-05-27,2020-05-25,supermarket,2453,2020-05-31,2515,8647.5,17606.0,0.49116778371009884
110,2020-06-03,2020-06-01,education,3055,2020-06-07,1865,9502.5,75050.5,0.12661474607097886
111,2020-06-03,2020-06-01,office,1013,2020-06-07,519,3051.5,7583.0,0.40241329289199523
112,2020-06-03,2020-06-01,retail,13449,2020-06-07,10768,44390.5,104534.0,0.42465130962174985
113,2020-06-03,2020-06-01,social,10432,2020-06-07,9738,35818.0,111885.5,0.3201308480544843
114,2020-06-03,2020-06-01,supermarket,2651,2020-06-07,2498,9125.5,17606.0,0.5183176189935249
115,2020-06-10,2020-06-08,education,2927,2020-06-14,1661,8978.5,75050.5,0.11963278059439977
